Player,Year,Next_Year_Price,future_avg_points,pred_score
Nik_Cox,2024,543000,52.9,0.3700241541034064
Sam_Day,2024,549000,63.0,0.3700241541034064
Thomson_Dow,2024,529000,51.6,0.3700241541034064
Harry_Sharp,2024,536000,45.7,0.3700241541034064
Jhye_Clark,2024,485000,47.3,0.3700241541034064
James_Borlase,2024,488000,47.6,0.3700241541034064
Tyler_Sonsie,2024,459000,44.7,0.3700241541034064
Shannon_Neale,2024,581000,56.6,0.3700241541034064
Finlay_Macrae,2024,468000,39.9,0.3700241541034064
Noah_Answerth,2024,523000,51.0,0.3700241541034064
Jacob_Wehr,2024,557000,54.3,0.3700241541034064
Kai_Lohmann,2024,613000,59.8,0.3700241541034064
Oliver_Dempsey,2024,747000,72.8,0.3700241541034064
Dante_Visentini,2024,443000,54.7,0.3700241541034064
Sam_Darcy,2024,778000,75.9,0.3700241541034064
Jase_Burgoyne,2024,785000,76.6,0.3700241541034064
Daniel_Turner,2024,434000,42.3,0.3700241541034064
Lloyd_Johnston,2024,437000,46.9,0.3700241541034064
Jai_Serong,2024,395000,37.3,0.3700241541034064
Jackson_Archer,2024,449000,43.8,0.3700241541034064
Callum_Jamieson,2024,400000,47.5,0.3700241541034064
Oisin_Mullin,2024,400000,39.0,0.3700241541034064
