Player,Year,Next_Year_Price,future_avg_points,pred_score
Tyler_Brockman,2024,362000,35.3,0.31778891721397645
Seamus_Mitchell,2024,357000,34.8,0.31778891721397645
Lloyd_Meek,2024,907000,88.4,0.31778891721397645
Griffin_Logue,2024,404000,49.5,0.31778891721397645
Sam_Wicks,2024,393000,38.3,0.31778891721397645
Elliot_Yeo,2024,933000,90.9,0.31778891721397645
Tom_Lynch,2024,435000,40.8,0.31778891721397645
Jack_Martin,2024,438000,31.0,0.31778891721397645
Brayden_Cook,2024,425000,41.5,0.31778891721397645
Josh_Goater,2024,408000,32.0,0.31778891721397645
Neil_Erasmus,2024,435000,25.8,0.31778891721397645
Dane_Rampe,2024,485000,47.3,0.31778891721397645
Daniel_McStay,2024,490000,56.2,0.31778891721397645
Changkuoth_Jiath,2024,492000,47.9,0.31778891721397645
Laitham_Vandermeer,2024,458000,44.6,0.31778891721397645
Ben_Paton,2024,458000,25.8,0.31778891721397645
Nathan_O'Driscoll,2024,441000,50.5,0.31778891721397645
Sam_Banks,2024,448000,43.7,0.31778891721397645
Shane_McAdam,2024,484000,44.3,0.31778891721397645
Bayley_Fritsch,2024,514000,50.1,0.31778891721397645
Mason_Cox,2024,517000,50.4,0.31778891721397645
Lachie_Fogarty,2024,521000,50.7,0.31778891721397645
