Player,Average_Points,Games_Played,Next_Year_Price,Year,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,last_year_avg_points,last_year_games,last_year_dnp_flag,3yr_avg_points,3yr_total_games,played_last_year,pre_dataset_coverage_flag,last_year_KI,last_year_MK,last_year_HB,last_year_DI,last_year_GL,last_year_BH,last_year_HO,last_year_TK,last_year_RB,last_year_IF,last_year_CL,last_year_CG,last_year_FF,last_year_FA,last_year_BR,last_year_CP,last_year_UP,last_year_CM,last_year_MI,last_year_1%,last_year_BO,last_year_GA,3yr_avg_KI,3yr_avg_MK,3yr_avg_HB,3yr_avg_DI,3yr_avg_GL,3yr_avg_BH,3yr_avg_HO,3yr_avg_TK,3yr_avg_RB,3yr_avg_IF,3yr_avg_CL,3yr_avg_CG,3yr_avg_FF,3yr_avg_FA,3yr_avg_BR,3yr_avg_CP,3yr_avg_UP,3yr_avg_CM,3yr_avg_MI,3yr_avg_1%,3yr_avg_BO,3yr_avg_GA,future_avg_points,label_available,value_score,breakout,student_prob
Tyler_Brockman,,,362000,2024,,,,,,,,,,,,,,,,,,,,,,,51.5,15.0,0.0,47.2,26.0,1.0,0.0,5.27,3.33,5.87,11.13,0.87,0.53,0.0,2.27,0.27,1.93,0.13,1.67,0.33,0.4,0.0,3.53,7.47,0.07,1.33,1.07,0.53,0.67,5.0,2.89,5.025,10.02,0.89,0.445,0.0,2.1799999999999997,0.18,1.555,0.34,2.0149999999999997,0.255,0.47500000000000003,0.0,3.445,6.415,0.17,1.21,1.08,0.4,0.6100000000000001,35.3,1.0,0.9977748098388485,0.0,0.255590604652949
Seamus_Mitchell,,,357000,2024,,,,,,,,,,,,,,,,,,,,,,,62.9,14.0,0.0,62.9,14.0,1.0,0.0,9.36,4.71,7.29,16.64,0.0,0.07,0.0,1.79,2.36,1.43,0.07,2.57,0.43,0.5,0.0,3.86,12.14,0.14,0.0,1.57,1.0,0.21,9.36,4.71,7.29,16.64,0.0,0.07,0.0,1.79,2.36,1.43,0.07,2.57,0.43,0.5,0.0,3.86,12.14,0.14,0.0,1.57,1.0,0.21,34.8,1.0,0.9981866250516404,0.0,0.255590604652949
Sam_Frost,,,384000,2024,,,,,,,,,,,,,,,,,,,,,,,49.6,18.0,0.0,53.23333333333333,52.0,1.0,0.0,6.44,4.17,6.33,12.78,0.0,0.06,0.61,2.0,2.17,0.44,0.33,3.39,0.28,1.28,0.11,5.33,7.56,0.72,0.17,3.94,0.11,0.0,7.613333333333333,4.613333333333333,6.1066666666666665,13.723333333333334,0.02666666666666667,0.04666666666666667,0.3333333333333333,2.0,2.936666666666667,0.65,0.21333333333333335,3.59,0.45,1.5633333333333335,0.03666666666666667,5.63,8.03,0.8566666666666666,0.14,4.51,0.23666666666666666,0.02666666666666667,37.4,1.0,0.9999446845795691,0.0,0.255590604652949
Billy_Frampton,,,382000,2024,,,,,,,,,,,,,,,,,,,,,,,50.6,15.0,0.0,55.699999999999996,31.0,1.0,0.0,6.25,3.19,3.06,9.31,0.44,0.19,8.31,1.19,2.13,1.13,0.63,2.31,0.38,1.0,0.0,3.38,5.94,0.63,0.25,5.19,0.06,0.0,8.773333333333333,4.8966666666666665,3.563333333333334,12.336666666666668,0.27,0.43,3.5700000000000003,0.6633333333333333,3.3866666666666667,0.9433333333333334,0.3333333333333333,2.36,0.7033333333333333,0.79,0.0,3.67,7.890000000000001,0.9333333333333332,0.48333333333333334,4.453333333333333,0.02,0.09000000000000001,37.2,1.0,1.000108509484122,0.0,0.255590604652949
Anthony_Scott,,,378000,2024,,,,,,,,,,,,,,,,,,,,,,,48.5,22.0,0.0,46.6,54.0,1.0,0.0,6.0,2.41,4.77,10.77,0.55,0.27,0.0,2.5,0.41,2.05,0.73,1.27,0.68,0.18,0.0,4.23,6.82,0.32,0.45,1.05,0.0,0.27,5.826666666666667,2.47,4.55,10.373333333333333,0.51,0.2866666666666667,0.0,1.8666666666666665,0.5,1.873333333333333,0.79,1.22,0.8766666666666666,0.26,0.0,4.066666666666667,6.82,0.2333333333333333,0.4366666666666667,1.2466666666666666,0.08,0.30666666666666664,25.0,1.0,1.4821081822851052,1.0,0.255590604652949
Jason_Horne-Francis,,,919000,2024,,,,,,,,,,,,,,,,,,,,,,,68.0,22.0,0.0,65.2,39.0,1.0,0.0,11.17,3.25,6.42,17.58,0.67,0.5,0.0,2.88,1.21,3.75,4.79,4.13,1.42,1.92,0.73,8.96,9.0,0.38,0.54,0.67,0.54,0.58,10.555,3.125,6.505,17.055,0.455,0.425,0.0,2.88,1.1949999999999998,3.1100000000000003,4.13,4.125,1.62,1.785,0.365,8.600000000000001,9.0,0.22,0.36,0.66,0.565,0.43499999999999994,89.5,1.0,0.9879034545959835,0.0,0.255590604652949
Lloyd_Meek,,,907000,2024,,,,,,,,,,,,,,,,,,,,,,,59.4,16.0,0.0,53.9,31.0,1.0,0.0,2.88,2.25,6.75,9.63,0.19,0.13,18.0,3.63,1.06,0.75,2.13,2.25,0.88,1.38,0.0,6.0,4.38,0.75,0.19,2.56,0.0,0.25,3.1799999999999997,1.86,6.786666666666666,9.97,0.21,0.11666666666666665,17.276666666666667,2.563333333333333,0.6666666666666666,0.77,2.486666666666667,2.73,1.1633333333333333,1.6466666666666665,0.0,6.426666666666667,4.403333333333333,0.64,0.19333333333333333,3.5400000000000005,0.0,0.08333333333333333,88.4,1.0,0.9901746135067985,0.0,0.255590604652949
Elliot_Yeo,,,933000,2024,,,,,,,,,,,,,,,,,,,,,,,70.1,10.0,0.0,70.16666666666667,27.0,1.0,0.0,11.5,3.4,5.9,17.4,0.1,0.0,0.0,3.4,4.0,2.8,3.0,2.7,0.9,0.5,0.0,6.5,8.6,0.4,0.0,2.8,0.6,0.1,11.333333333333334,3.283333333333333,6.8,18.133333333333333,0.11666666666666665,0.26,0.0,3.4166666666666665,3.2899999999999996,2.8166666666666664,3.5066666666666664,2.7933333333333334,0.8566666666666666,0.9233333333333333,0.11,8.076666666666666,9.299999999999999,0.19000000000000003,0.0,2.25,0.51,0.11666666666666665,90.9,1.0,0.9893802177832097,0.0,0.255590604652949
Luke_Breust,,,393000,2024,,,,,,,,,,,,,,,,,,,,,,,60.4,21.0,0.0,59.9,61.0,1.0,0.0,6.86,3.67,3.86,10.71,2.24,1.1,0.0,2.1,0.1,1.76,0.57,2.57,0.95,0.9,0.05,4.86,6.24,0.57,2.19,0.71,0.05,0.29,6.903333333333333,2.7933333333333334,4.593333333333333,11.493333333333332,1.9600000000000002,0.86,0.0,2.5966666666666667,0.11666666666666668,2.4633333333333334,0.5966666666666667,2.2499999999999996,1.05,0.75,0.06333333333333334,5.616666666666667,6.376666666666666,0.38666666666666666,1.5166666666666666,0.85,0.09999999999999999,0.51,38.3,1.0,0.9991729495389943,0.0,0.255590604652949
Sam_Wicks,,,393000,2024,,,,,,,,,,,,,,,,,,,,,,,56.8,10.0,0.0,51.5,40.0,1.0,0.0,5.91,1.73,4.73,10.64,0.91,0.82,0.0,5.36,0.18,1.91,0.73,1.82,0.36,0.91,0.0,4.0,5.64,0.0,0.45,0.82,0.0,1.0,5.57,2.2600000000000002,4.723333333333334,10.293333333333335,0.6933333333333334,0.68,0.0,3.97,0.15,1.7633333333333334,0.39999999999999997,2.1566666666666667,0.5433333333333333,1.2666666666666666,0.0,4.22,5.82,0.19000000000000003,0.5266666666666667,1.0233333333333334,0.06,0.5866666666666666,38.3,1.0,0.9991729495389943,0.0,0.255590604652949
Griffin_Logue,,,404000,2024,,,,,,,,,,,,,,,,,,,,,,,51.9,15.0,0.0,52.800000000000004,49.0,1.0,0.0,7.0,5.07,5.47,12.47,0.07,0.07,1.47,1.0,2.8,0.47,0.07,1.8,0.4,0.53,0.0,4.73,7.8,1.0,0.13,5.27,0.47,0.0,6.703333333333333,4.94,5.47,12.173333333333334,0.15666666666666668,0.15666666666666668,0.9066666666666666,1.3766666666666667,2.193333333333333,0.5866666666666666,0.15666666666666668,1.8966666666666665,0.5533333333333333,0.6433333333333334,0.0,5.0566666666666675,7.176666666666666,1.0266666666666666,0.24333333333333332,5.793333333333333,0.25,0.09999999999999999,49.5,1.0,0.537983512805534,0.0,0.255590604652949
Josh_Goater,,,408000,2024,,,,,,,,,,,,,,,,,,,,,,,54.5,10.0,0.0,68.75,11.0,1.0,0.0,7.9,4.6,6.1,14.0,0.0,0.1,0.0,1.3,2.5,1.2,0.6,1.7,0.7,0.4,0.0,3.4,10.7,0.0,0.1,1.8,0.7,0.3,9.95,4.8,7.55,17.5,0.0,0.55,0.0,2.15,2.75,0.6,0.3,1.85,0.85,0.2,0.0,4.7,12.85,0.0,0.05,1.9,0.85,0.15,32.0,1.0,1.3595832917629735,1.0,0.255590604652949
Callum_Coleman-Jones,,,408000,2024,,,,,,,,,,,,,,,,,,,,,,,50.3,9.0,0.0,53.666666666666664,27.0,1.0,0.0,4.56,3.0,4.56,9.11,0.44,0.33,7.11,2.56,0.33,1.22,1.33,3.33,0.56,0.78,0.0,4.78,4.67,1.22,0.89,1.67,0.0,0.44,5.036666666666666,3.1833333333333336,5.203333333333333,10.236666666666666,0.7733333333333333,0.41,8.28,1.9633333333333332,0.37666666666666665,1.2233333333333334,1.1199999999999999,2.8366666666666664,0.9133333333333334,1.16,0.043333333333333335,5.52,5.1066666666666665,1.1666666666666667,0.88,1.79,0.0,0.32333333333333336,26.0,1.0,1.6379194061090931,1.0,0.255590604652949
Brayden_Cook,,,425000,2024,,,,,,,,,,,,,,,,,,,,,,,63.0,1.0,0.0,49.633333333333326,12.0,1.0,0.0,10.0,5.0,6.0,16.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,14.0,0.0,1.0,1.0,0.0,1.0,8.11,2.8766666666666665,5.349999999999999,13.46,0.12666666666666668,0.4166666666666667,0.0,1.5833333333333333,1.8066666666666666,1.7666666666666666,1.0999999999999999,1.2366666666666666,0.21,0.57,0.0,3.8200000000000003,10.266666666666666,0.0,0.3333333333333333,0.4166666666666667,0.15333333333333335,0.37666666666666665,41.5,1.0,0.9958745244997901,0.0,0.255590604652949
David_Swallow,,,424000,2024,,,,,,,,,,,,,,,,,,,,,,,72.4,23.0,0.0,80.96666666666667,66.0,1.0,0.0,9.65,3.39,6.96,16.61,0.61,0.48,0.0,4.39,0.57,2.87,3.09,2.65,0.65,1.0,0.0,7.87,8.96,0.43,0.57,1.39,0.0,0.39,11.450000000000001,4.253333333333334,8.103333333333333,19.55,0.42,0.3766666666666667,0.0,4.2,1.43,3.466666666666667,3.3733333333333335,2.963333333333333,0.8633333333333333,0.9700000000000001,0.07666666666666667,8.753333333333332,11.24,0.37666666666666665,0.3333333333333333,1.5166666666666666,0.06333333333333334,0.39333333333333337,41.3,1.0,1.0009962292671537,0.0,0.255590604652949
Ryan_Maric,,,421000,2024,,,,,,,,,,,,,,,,,,,,,,,49.3,10.0,0.0,49.3,10.0,1.0,0.0,4.5,2.8,5.5,10.0,0.9,0.2,0.0,2.6,0.2,1.9,0.2,1.0,1.0,0.2,0.0,3.9,6.6,0.4,0.7,1.0,0.0,0.3,4.5,2.8,5.5,10.0,0.9,0.2,0.0,2.6,0.2,1.9,0.2,1.0,1.0,0.2,0.0,3.9,6.6,0.4,0.7,1.0,0.0,0.3,41.0,1.0,1.0012730406910337,0.0,0.255590604652949
Alex_Cincotta,,,430000,2024,,,,,,,,,,,,,,,,,,,,,,,48.1,16.0,0.0,48.1,16.0,1.0,0.0,5.95,2.79,6.37,12.32,0.16,0.11,0.0,1.84,1.63,1.84,0.79,1.63,0.47,0.74,0.0,4.47,7.79,0.21,0.11,1.89,0.11,0.05,5.95,2.79,6.37,12.32,0.16,0.11,0.0,1.84,1.63,1.84,0.79,1.63,0.47,0.74,0.0,4.47,7.79,0.21,0.11,1.89,0.11,0.05,41.9,1.0,1.0004174286125875,0.0,0.255590604652949
Harry_Schoenberg,,,427000,2024,,,,,,,,,,,,,,,,,,,,,,,50.7,11.0,0.0,60.76666666666667,49.0,1.0,0.0,6.91,2.64,6.64,13.55,0.18,0.36,0.0,2.45,0.91,2.45,2.36,2.18,0.55,1.0,0.0,4.82,8.09,0.09,0.27,0.64,0.27,0.36,8.223333333333333,2.3000000000000003,7.906666666666666,16.133333333333336,0.29333333333333333,0.34,0.0,3.5566666666666666,1.05,3.0,3.033333333333333,3.276666666666667,0.6966666666666667,1.1933333333333334,0.0,6.5566666666666675,9.586666666666668,0.04666666666666667,0.25333333333333335,0.8133333333333334,0.17,0.4033333333333333,41.8,1.0,0.9905558166325319,0.0,0.255590604652949
Jack_Martin,,,438000,2024,,,,,,,,,,,,,,,,,,,,,,,54.1,11.0,0.0,55.96666666666666,34.0,1.0,0.0,5.77,3.54,5.15,10.92,1.31,0.77,0.0,2.38,0.38,1.38,0.54,2.31,0.92,1.0,0.09,4.85,6.38,0.62,1.38,0.92,0.0,0.38,6.830000000000001,4.14,4.22,11.050000000000002,1.0133333333333334,0.7466666666666667,0.0,2.44,0.39333333333333337,1.8033333333333335,0.5366666666666666,2.1300000000000003,0.7733333333333333,0.89,0.03,4.57,6.666666666666667,0.7000000000000001,1.2466666666666668,0.8933333333333334,0.0,0.6533333333333333,31.0,1.0,1.6280890511838502,1.0,0.255590604652949
Tom_Lynch,,,435000,2024,,,,,,,,,,,,,,,,,,,,,,,51.8,4.0,0.0,51.8,4.0,1.0,0.0,6.5,4.5,2.0,8.5,2.25,1.5,0.25,1.25,0.0,1.0,0.75,3.5,0.5,2.0,0.0,6.0,3.25,2.5,2.75,3.0,0.0,0.25,6.5,4.5,2.0,8.5,2.25,1.5,0.25,1.25,0.0,1.0,0.75,3.5,0.5,2.0,0.0,6.0,3.25,2.5,2.75,3.0,0.0,0.25,40.8,1.0,1.0845196357253082,1.0,0.255590604652949
