Player,Average_Points,Games_Played,Next_Year_Price,Year,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,last_year_avg_points,last_year_games,last_year_dnp_flag,3yr_avg_points,3yr_total_games,played_last_year,pre_dataset_coverage_flag,last_year_KI,last_year_MK,last_year_HB,last_year_DI,last_year_GL,last_year_BH,last_year_HO,last_year_TK,last_year_RB,last_year_IF,last_year_CL,last_year_CG,last_year_FF,last_year_FA,last_year_BR,last_year_CP,last_year_UP,last_year_CM,last_year_MI,last_year_1%,last_year_BO,last_year_GA,3yr_avg_KI,3yr_avg_MK,3yr_avg_HB,3yr_avg_DI,3yr_avg_GL,3yr_avg_BH,3yr_avg_HO,3yr_avg_TK,3yr_avg_RB,3yr_avg_IF,3yr_avg_CL,3yr_avg_CG,3yr_avg_FF,3yr_avg_FA,3yr_avg_BR,3yr_avg_CP,3yr_avg_UP,3yr_avg_CM,3yr_avg_MI,3yr_avg_1%,3yr_avg_BO,3yr_avg_GA,future_avg_points,label_available,value_score,breakout,teacher_prob
Tom_Brown,,,506000,2024,,,,,,,,,,,,,,,,,,,,,,,62.0,1.0,0.0,62.0,1.0,1.0,0.0,12.0,6.0,4.0,16.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,12.0,6.0,4.0,16.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,49.3,1.0,1.0048909662547012,0.0,0.3763312863291035
Finlay_Macrae,,,468000,2024,,,,,,,,,,,,,,,,,,,,,,,47.0,1.0,0.0,37.53333333333333,12.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.1300000000000001,6.390000000000001,9.056666666666667,0.03666666666666667,0.0,0.0,3.3333333333333335,0.24,0.9633333333333333,0.7399999999999999,1.5566666666666666,0.5733333333333334,0.27666666666666667,0.0,3.8699999999999997,5.9799999999999995,0.0,0.07333333333333333,0.6666666666666666,0.0,0.07333333333333333,39.9,1.0,1.3657632123785952,1.0,0.37113739408896707
Luke_Nankervis,,,662000,2024,,,,,,,,,,,,,,,,,,,,,,,61.8,4.0,0.0,61.8,4.0,1.0,0.0,9.0,4.5,4.5,13.5,0.0,0.0,0.0,3.25,1.75,1.75,0.75,1.75,0.0,0.25,0.0,3.5,9.5,0.25,0.0,0.75,0.25,0.5,9.0,4.5,4.5,13.5,0.0,0.0,0.0,3.25,1.75,1.75,0.75,1.75,0.0,0.25,0.0,3.5,9.5,0.25,0.0,0.75,0.25,0.5,64.5,1.0,0.9547545998968178,0.0,0.3703372869867212
Ned_Moyle,,,749000,2024,,,,,,,,,,,,,,,,,,,,,,,54.0,2.0,0.0,54.0,2.0,1.0,0.0,3.0,0.0,1.5,4.5,0.0,0.0,26.5,5.0,1.0,1.0,1.5,1.5,0.0,1.5,0.0,3.5,1.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,1.5,4.5,0.0,0.0,26.5,5.0,1.0,1.0,1.5,1.5,0.0,1.5,0.0,3.5,1.0,0.0,0.0,1.5,0.0,0.0,77.6,1.0,1.3723131508605677,1.0,0.3665565479158238
Toby_Conway,,,656000,2024,,,,,,,,,,,,,,,,,,,,,,,48.0,1.0,0.0,48.0,1.0,1.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0,24.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0,24.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,75.2,1.0,5.042456934110509,1.0,0.3602058070305788
Lachie_Fogarty,,,521000,2024,,,,,,,,,,,,,,,,,,,,,,,61.2,9.0,0.0,53.23333333333333,28.0,1.0,0.0,6.42,2.33,6.0,12.42,0.33,0.33,0.0,4.83,0.75,2.33,1.25,1.75,0.42,0.33,0.0,4.92,7.58,0.0,0.33,0.92,0.08,0.75,5.976666666666667,2.4499999999999997,5.653333333333333,11.63,0.22666666666666666,0.33666666666666667,0.0,3.3833333333333333,0.4666666666666666,2.1766666666666663,0.8866666666666667,1.6233333333333333,0.4533333333333333,0.32666666666666666,0.0,4.433333333333334,7.186666666666667,0.15,0.32666666666666666,1.0233333333333332,0.02666666666666667,0.7000000000000001,50.7,1.0,1.0123013973629866,0.0,0.35934682783341115
Harry_Sharp,,,536000,2024,,,,,,,,,,,,,,,,,,,,,,,59.3,3.0,0.0,38.03333333333333,9.0,1.0,0.0,11.33,4.33,2.0,13.33,0.67,0.0,0.0,1.67,0.67,3.33,1.0,3.67,0.67,1.0,0.0,4.0,9.67,0.0,0.0,1.0,0.0,0.0,7.109999999999999,2.21,1.5,8.61,0.22333333333333336,0.0,0.0,1.6233333333333333,1.1233333333333333,1.8099999999999998,0.4666666666666666,3.0566666666666666,0.4566666666666667,0.9333333333333332,0.0,2.966666666666667,6.0566666666666675,0.0,0.0,1.1333333333333333,0.06666666666666667,0.16666666666666666,45.7,1.0,1.732553963017054,1.0,0.3592132963860952
Jeremy_Howe,,,662000,2024,,,,,,,,,,,,,,,,,,,,,,,62.9,11.0,0.0,67.43333333333334,40.0,1.0,0.0,10.29,6.0,4.29,14.57,0.5,0.07,0.0,1.86,4.14,0.79,0.21,1.14,0.36,0.21,0.0,3.14,9.36,0.64,0.57,3.0,0.14,0.14,11.11,5.876666666666666,4.89,15.996666666666664,0.22333333333333336,0.023333333333333334,0.0,1.9000000000000001,4.489999999999999,0.7633333333333333,0.12666666666666668,1.7833333333333332,0.7466666666666666,0.42,0.0,4.1866666666666665,9.926666666666668,0.8533333333333334,0.18999999999999997,3.736666666666667,0.1466666666666667,0.10333333333333335,64.5,1.0,0.9547545998968178,0.0,0.35738141533930734
Shane_McAdam,,,484000,2024,,,,,,,,,,,,,,,,,,,,,,,59.7,7.0,0.0,56.63333333333333,37.0,1.0,0.0,5.43,4.29,4.29,9.71,1.71,0.57,0.0,3.29,0.14,1.29,0.0,1.57,0.57,0.86,0.0,3.57,6.57,0.57,2.14,1.71,0.14,0.57,5.656666666666666,4.116666666666667,4.006666666666667,9.660000000000002,1.6366666666666667,0.7233333333333333,0.0,2.83,0.11333333333333334,1.0966666666666667,0.13333333333333333,2.1,0.8333333333333334,1.13,0.0,3.8800000000000003,5.8566666666666665,0.7033333333333333,2.026666666666667,1.0833333333333333,0.1366666666666667,0.5466666666666667,44.3,1.0,1.2057067403410602,1.0,0.3557893746575552
Brayden_Cook,,,425000,2024,,,,,,,,,,,,,,,,,,,,,,,63.0,1.0,0.0,49.633333333333326,12.0,1.0,0.0,10.0,5.0,6.0,16.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,14.0,0.0,1.0,1.0,0.0,1.0,8.11,2.8766666666666665,5.349999999999999,13.46,0.12666666666666668,0.4166666666666667,0.0,1.5833333333333333,1.8066666666666666,1.7666666666666666,1.0999999999999999,1.2366666666666666,0.21,0.57,0.0,3.8200000000000003,10.266666666666666,0.0,0.3333333333333333,0.4166666666666667,0.15333333333333335,0.37666666666666665,41.5,1.0,0.9958745244997901,0.0,0.35483334024031754
